  A   Z Nuc Mass (MeV)
  1   0        939.565
  1   1        938.272
  2   1       1875.613
  3   1       2808.921
  3   2       2808.392
  4   1       3750.087
  4   2       3727.379
  4   3       3749.767
  5   1       4689.852
  5   2       4667.680
  5   3       4667.617
  6   1       5630.329
  6   2       5605.535
  6   3       5601.519
  6   4       5605.296
  7   2       6545.510
  7   3       6533.833
  7   4       6534.184
  7   5       6545.581
  8   2       7482.541
  8   3       7471.366
  8   4       7454.851
  8   5       7472.320
  8   6       7483.952
  9   2       8423.361
  9   3       8406.869
  9   4       8392.752
  9   5       8393.309
  9   6       8409.293
 10   2       9363.116
 10   3       9346.461
 10   4       9325.505
 10   5       9324.437
 10   6       9327.575
 10   7       9350.165
 11   3      10285.631
 11   4      10264.569
 11   5      10252.548
 11   6      10254.019
 11   7      10267.163
 12   3      11225.406
 12   4      11200.963
 12   5      11188.744
 12   6      11174.864
 12   7      11191.692
 12   8      11205.758
 13   3      12164.871
 13   4      12141.039
 13   5      12123.431
 13   6      12109.483
 13   7      12111.193
 13   8      12128.453
 14   4      13078.828
 14   5      13062.027
 14   6      13040.872
 14   7      13040.205
 14   8      13044.839
 14   9      13068.286
 15   4      14020.194
 15   5      13998.815
 15   6      13979.220
 15   7      13968.937
 15   8      13971.181
 15   9      13984.382
 15  10      14007.520
 16   4      14959.309
 16   5      14938.464
 16   6      14914.535
 16   7      14906.014
 16   8      14895.083
 16   9      14909.990
 16  10      14922.786
 17   5      15876.562
 17   6      15853.367
 17   7      15839.694
 17   8      15830.505
 17   9      15832.755
 17  10      15846.794
 17  11      15864.956
 18   5      16816.132
 18   6      16788.748
 18   7      16776.431
 18   8      16762.025
 18   9      16763.171
 18  10      16767.105
 18  11      16786.315
 19   5      17755.604
 19   6      17727.737
 19   7      17710.669
 19   8      17697.635
 19   9      17692.304
 19  10      17695.033
 19  11      17705.701
 19  12      17724.090
 20   6      18664.321
 20   7      18648.073
 20   8      18629.592
 20   9      18625.268
 20  10      18617.734
 20  11      18631.116
 20  12      18641.233
 21   7      19583.032
 21   8      19565.352
 21   9      19556.732
 21  10      19550.538
 21  11      19553.575
 21  12      19566.153
 22   6      20543.416
 22   7      20521.059
 22   8      20498.067
 22   9      20491.067
 22  10      20479.739
 22  11      20482.072
 22  12      20486.344
 23   7      21457.509
 23   8      21434.900
 23   9      21423.053
 23  10      21414.104
 23  11      21409.218
 23  12      21412.764
 23  13      21424.476
 24   8      22370.273
 24   9      22358.807
 24  10      22344.800
 24  11      22341.824
 24  12      22335.798
 24  13      22349.173
 24  14      22359.457
 25   8      23310.595
 25   9      23294.090
 25  10      23280.210
 25  11      23272.378
 25  12      23268.033
 25  13      23271.800
 25  14      23284.034
 26   8      24249.422
 26   9      24232.899
 26  10      24214.221
 26  11      24206.369
 26  12      24196.505
 26  13      24200.000
 26  14      24204.559
 27   9      25171.195
 27  10      25152.285
 27  11      25139.206
 27  12      25129.627
 27  13      25126.507
 27  14      25130.810
 27  15      25141.962
 28   9      26110.980
 28  10      26088.028
 28  11      26075.230
 28  12      26060.689
 28  13      26058.348
 28  14      26053.196
 28  15      26067.031
 28  16      26077.743
 29   9      27048.883
 29  10      27026.622
 29  11      27010.392
 29  12      26996.599
 29  13      26988.485
 29  14      26984.288
 29  15      26988.720
 29  16      27002.007
 29  17      27017.817
 30  10      27962.997
 30  11      27947.681
 30  12      27929.813
 30  13      27922.322
 30  14      27913.244
 30  15      27916.966
 30  16      27922.599
 30  18      27956.570
 31  10      28902.392
 31  11      28882.946
 31  12      28867.068
 31  13      28854.730
 31  14      28846.222
 31  15      28844.221
 31  16      28849.109
 31  17      28860.608
 32  11      29820.835
 32  12      29800.856
 32  13      29790.075
 32  14      29776.587
 32  15      29775.851
 32  16      29773.630
 32  17      29785.802
 32  18      29796.427
 33  11      30757.469
 33  12      30738.141
 33  13      30724.171
 33  14      30711.645
 33  15      30705.312
 33  16      30704.554
 33  17      30709.627
 33  18      30720.737
 34  11      31696.863
 34  12      31672.996
 34  13      31661.163
 34  14      31643.696
 34  15      31638.595
 34  16      31632.702
 34  17      31637.685
 34  18      31643.237
 35  12      32611.807
 35  13      32595.433
 35  14      32580.756
 35  15      32569.780
 35  16      32565.282
 35  17      32564.605
 35  18      32570.063
 35  19      32581.428
 36  12      33548.041
 36  13      33533.101
 36  14      33514.205
 36  15      33505.881
 36  16      33494.958
 36  17      33495.591
 36  18      33494.372
 36  19      33506.678
 36  20      33517.135
 37  12      34487.366
 37  13      34468.455
 37  14      34451.564
 37  15      34438.630
 37  16      34430.220
 37  17      34424.846
 37  18      34425.150
 37  19      34430.789
 37  20      34441.944
 38  13      35406.349
 38  14      35385.459
 38  15      35374.498
 38  16      35361.749
 38  17      35358.303
 38  18      35352.877
 38  19      35358.282
 38  20      35364.516
 39  14      36323.444
 39  15      36307.839
 39  16      36296.942
 39  17      36289.795
 39  18      36285.844
 39  19      36284.770
 39  20      36290.786
 39  21      36303.387
 40  14      37258.047
 40  15      37243.994
 40  16      37228.761
 40  17      37223.532
 40  18      37215.540
 40  19      37216.536
 40  20      37214.716
 40  21      37228.530
 40  22      37239.695
 41  14      38196.232
 41  15      38178.623
 41  16      38164.084
 41  17      38155.276
 41  18      38149.007
 41  19      38146.006
 41  20      38145.919
 41  21      38151.905
 41  22      38164.342
 42  15      39116.106
 42  16      39096.949
 42  17      39089.246
 42  18      39079.146
 42  19      39078.037
 42  20      39074.003
 42  21      39079.921
 42  22      39086.429
 43  15      40051.270
 43  16      40033.886
 43  17      40021.412
 43  18      40013.053
 43  19      40007.978
 43  20      40005.636
 43  21      40007.348
 43  22      40013.706
 43  23      40024.603
 44  16      40968.371
 44  17      40956.681
 44  18      40943.883
 44  19      40940.266
 44  20      40934.070
 44  21      40937.214
 44  22      40936.973
 44  23      40949.897
 45  16      41905.080
 45  17      41890.297
 45  18      41878.280
 45  19      41870.926
 45  20      41866.221
 45  21      41865.452
 45  22      41867.006
 45  23      41873.621
 45  24      41885.484
 46  17      42826.195
 46  18      42809.772
 46  19      42803.622
 46  20      42795.388
 46  21      42796.257
 46  22      42793.382
 46  23      42799.926
 46  24      42807.022
 47  18      43745.673
 47  19      43734.818
 47  20      43727.677
 47  21      43725.176
 47  22      43724.066
 47  23      43726.489
 47  24      43733.425
 47  25      43744.913
 48  18      44680.252
 48  19      44669.740
 48  20      44657.291
 48  21      44656.503
 48  22      44652.005
 48  23      44655.512
 48  24      44656.659
 48  25      44669.677
 49  19      45603.907
 49  20      45591.710
 49  21      45585.939
 49  22      45583.428
 49  23      45583.522
 49  24      45585.642
 49  25      45592.847
 49  26      45605.209
 50  19      46539.284
 50  20      46524.914
 50  21      46519.447
 50  22      46512.054
 50  23      46513.754
 50  24      46512.207
 50  25      46519.334
 50  26      46526.977
 51  19      47473.990
 51  20      47459.665
 51  21      47452.260
 51  22      47445.247
 51  23      47442.268
 51  24      47442.512
 51  25      47445.212
 51  26      47452.745
 51  27      47465.098
 52  19      48410.863
 52  20      48393.225
 52  21      48386.540
 52  22      48377.005
 52  23      48374.522
 52  24      48370.039
 52  25      48374.242
 52  26      48376.111
 52  27      48389.573
 53  19      49347.199
 53  20      49329.598
 53  21      49319.570
 53  22      49311.137
 53  23      49305.609
 53  24      49301.665
 53  25      49301.754
 53  26      49304.988
 53  27      49312.769
 53  28      49325.290
 54  20      50265.319
 54  21      50256.080
 54  22      50243.841
 54  23      50239.061
 54  24      50231.511
 54  25      50232.380
 54  26      50231.176
 54  27      50238.912
 54  28      50247.136
 55  21      51191.306
 55  22      51179.289
 55  23      51171.304
 55  24      51164.830
 55  25      51161.720
 55  26      51161.443
 55  27      51164.387
 55  28      51172.573
 55  29      51185.766
 56  21      52128.107
 56  22      52113.131
 56  23      52105.787
 56  24      52096.149
 56  25      52094.015
 56  26      52089.811
 56  27      52093.870
 56  28      52095.495
 56  29      52110.253
 57  21      53063.457
 57  22      53050.029
 57  23      53039.023
 57  24      53030.404
 57  25      53024.934
 57  26      53021.730
 57  27      53022.059
 57  28      53024.813
 57  29      53033.081
 58  23      53974.529
 58  24      53962.431
 58  25      53958.087
 58  26      53951.251
 58  27      53953.052
 58  28      53952.162
 58  29      53960.216
 58  30      53969.078
 59  23      54908.593
 59  24      54897.831
 59  25      54889.883
 59  26      54884.236
 59  27      54882.163
 59  28      54882.729
 59  29      54887.020
 59  30      54895.655
 60  23      55844.677
 60  24      55830.741
 60  25      55823.935
 60  26      55814.982
 60  27      55814.237
 60  28      55810.906
 60  29      55816.527
 60  30      55820.190
 61  23      56778.906
 61  24      56766.429
 61  25      56756.654
 61  26      56748.968
 61  27      56744.483
 61  28      56742.652
 61  29      56744.382
 61  30      56749.510
 61  31      56758.217
 62  24      57699.504
 62  25      57691.367
